Data,Countries,Local,Industry Sector,Accident Level,Potential Accident Level,Genre,Employee ou Terceiro,Risco Critico
28/12/2016 00:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Others
30/12/2016 00:00,Country_01,Local_04,Mining,IV,V,Male,Third Party,Others
31/12/2016 00:00,Country_01,Local_04,Mining,III,IV,Male,Third Party,Others
02/01/2017 00:00,Country_01,Local_06,Metals,I,II,Male,Third Party (Remote),Pressed
05/01/2017 00:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Projection
05/01/2017 00:00,Country_01,Local_03,Mining,I,III,Male,Employee,Others
06/01/2017 00:00,Country_02,Local_08,Metals,I,I,Male,Employee,Pressed
07/01/2017 00:00,Country_01,Local_04,Mining,I,IV,Male,Employee,Others
08/01/2017 00:00,Country_01,Local_06,Metals,III,III,Male,Employee,Cut
08/01/2017 00:00,Country_02,Local_05,Metals,II,IV,Male,Employee,Projection/Burning
09/01/2017 00:00,Country_01,Local_01,Mining,I,III,Male,Third Party,Others
09/01/2017 00:00,Country_01,Local_03,Mining,I,III,Male,Employee,Others
10/01/2017 00:00,Country_03,Local_10,Others,I,IV,Male,Third Party,Fall prevention
12/01/2017 00:00,Country_02,Local_08,Metals,I,II,Male,Third Party (Remote),Manual Tools
14/01/2017 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Projection
17/01/2017 00:00,Country_01,Local_03,Mining,I,III,Male,Employee,remains of choco
17/01/2017 00:00,Country_02,Local_08,Metals,I,IV,Male,Employee,Liquid Metal
17/01/2017 00:00,Country_02,Local_08,Metals,III,IV,Male,Employee,Others
20/01/2017 00:00,Country_01,Local_06,Metals,IV,IV,Male,Third Party (Remote),Fall prevention
20/01/2017 00:00,Country_01,Local_04,Mining,I,III,Male,Third Party,Manual Tools
21/01/2017 00:00,Country_02,Local_02,Mining,I,I,Male,Third Party (Remote),Others
21/01/2017 00:00,Country_02,Local_02,Mining,I,I,Male,Third Party (Remote),Others
23/01/2017 00:00,Country_01,Local_04,Mining,I,IV,Male,Third Party,remains of choco
24/01/2017 00:00,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Fall
24/01/2017 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals
25/01/2017 00:00,Country_01,Local_03,Mining,V,VI,Male,Third Party,remains of choco
27/01/2017 00:00,Country_01,Local_04,Mining,II,III,Male,Third Party,Others
